      117.68 real         0.12 user         0.03 sys
      119.77 real         0.11 user         0.05 sys
      116.80 real         0.11 user         0.08 sys
      120.27 real         0.03 user         0.10 sys
      118.88 real         0.02 user         0.07 sys
      119.04 real         0.08 user         0.09 sys
      119.03 real         0.04 user         0.11 sys
      130.44 real         0.10 user         0.09 sys
      119.69 real         0.06 user         0.07 sys
      117.34 real         0.07 user         0.14 sys
      117.35 real         0.08 user         0.11 sys
      118.55 real         0.03 user         0.09 sys
      120.99 real         0.01 user         0.10 sys
      118.79 real         0.08 user         0.13 sys
      116.68 real         0.06 user         0.09 sys
      116.06 real         0.03 user         0.11 sys
      117.08 real         0.03 user         0.07 sys
      120.11 real         0.05 user         0.08 sys
      119.09 real         0.08 user         0.08 sys
      118.41 real         0.09 user         0.09 sys
      118.54 real         0.10 user         0.09 sys
      117.30 real         0.02 user         0.11 sys
      118.59 real         0.10 user         0.09 sys
      121.80 real         0.08 user         0.11 sys
      118.57 real         0.11 user         0.07 sys
      118.75 real         0.05 user         0.07 sys
      118.29 real         0.07 user         0.06 sys
      115.83 real         0.05 user         0.04 sys
      123.85 real         0.03 user         0.13 sys
      117.37 real         0.09 user         0.12 sys
      118.69 real         0.05 user         0.07 sys
      118.56 real         0.11 user         0.07 sys
      118.50 real         0.07 user         0.08 sys
      121.60 real         0.04 user         0.10 sys
      116.51 real         0.04 user         0.09 sys
      118.43 real         0.11 user         0.07 sys
      122.91 real         0.00 user         0.07 sys
      119.77 real         0.05 user         0.09 sys
      118.89 real         0.03 user         0.11 sys
      116.18 real         0.09 user         0.13 sys
      119.82 real         0.01 user         0.12 sys
      121.25 real         0.07 user         0.07 sys
      119.42 real         0.07 user         0.08 sys
      119.65 real         0.06 user         0.07 sys
      116.07 real         0.11 user         0.06 sys
      119.32 real         0.06 user         0.07 sys
      120.09 real         0.07 user         0.04 sys
      120.98 real         0.14 user         0.08 sys
      117.28 real         0.10 user         0.11 sys
      120.11 real         0.06 user         0.07 sys
      117.26 real         0.07 user         0.10 sys
      116.13 real         0.09 user         0.05 sys
      124.04 real         0.03 user         0.08 sys
      117.07 real         0.03 user         0.12 sys
      120.56 real         0.07 user         0.09 sys
      118.03 real         0.08 user         0.07 sys
      116.45 real         0.03 user         0.11 sys
      122.66 real         0.08 user         0.09 sys
      116.70 real         0.05 user         0.06 sys
      119.98 real         0.02 user         0.11 sys
      117.70 real         0.09 user         0.10 sys
      120.14 real         0.09 user         0.07 sys
      120.97 real         0.06 user         0.11 sys
      116.66 real         0.05 user         0.11 sys
      121.16 real         0.08 user         0.12 sys
      122.09 real         0.08 user         0.11 sys
      120.54 real         0.05 user         0.11 sys
      117.20 real         0.09 user         0.12 sys
      117.42 real         0.08 user         0.08 sys
      118.67 real         0.07 user         0.12 sys
      122.28 real         0.04 user         0.06 sys
      118.80 real         0.05 user         0.10 sys
      117.17 real         0.09 user         0.06 sys
      120.25 real         0.06 user         0.08 sys
      117.58 real         0.06 user         0.13 sys
      121.60 real         0.08 user         0.09 sys
      120.61 real         0.07 user         0.13 sys
      118.21 real         0.02 user         0.12 sys
      119.40 real         0.07 user         0.10 sys
      118.61 real         0.13 user         0.06 sys
      117.92 real         0.06 user         0.07 sys
      122.42 real         0.08 user         0.09 sys
      118.98 real         0.09 user         0.07 sys
      118.99 real         0.07 user         0.10 sys
      117.62 real         0.09 user         0.09 sys
      117.95 real         0.10 user         0.10 sys
      124.12 real         0.08 user         0.09 sys
      118.32 real         0.01 user         0.08 sys
      119.90 real         0.09 user         0.09 sys
      118.80 real         0.06 user         0.09 sys
      118.79 real         0.07 user         0.09 sys
      122.76 real         0.10 user         0.07 sys
      116.89 real         0.08 user         0.09 sys
      119.30 real         0.04 user         0.09 sys
      124.75 real         0.06 user         0.08 sys
      119.47 real         0.11 user         0.10 sys
      119.55 real         0.07 user         0.09 sys
      117.08 real         0.06 user         0.07 sys
      122.54 real         0.06 user         0.10 sys
      121.34 real         0.02 user         0.14 sys
